modelo,peaje,target,rmse_train,mae_train,rmse_val,mae_val,rmse_test,mae_test,smape_val,smape_test,mase_val,mase_test
xgb_bicentenario_sentido_1,BICENTENARIO,sentido_1,24.04586097805153,16.726152420043945,169.6300086769732,116.1815414428711,97.13265635041337,74.09932708740234,9.621845130906873,7.063205029164828,0.4176477152062991,0.2663711667839315
xgb_bicentenario_sentido_2,BICENTENARIO,sentido_2,9.519600975585847,7.342736721038818,144.1048541318959,82.69963836669922,76.58696037838295,57.64079666137695,6.871499549355469,5.030451955449719,0.25130229795722614,0.1751551203646893
xgb_casablanca_sentido_1,CASABLANCA,sentido_1,13.172256699503588,9.215143203735352,465.6006872847161,311.63592529296875,368.61539916286733,240.02499389648438,6.129463002355791,4.684867215694337,0.4222060933260804,0.3251872185809121
xgb_casablanca_sentido_2,CASABLANCA,sentido_2,160.38090036885626,115.52609252929688,384.2503863042951,250.1019287109375,401.4285622934671,266.5058898925781,5.82853659247196,4.8162790142240635,0.3945487053285703,0.420426738365446
xgb_cerritos_ii_sentido_1,CERRITOS II,sentido_1,33.26905769923928,25.44843292236328,446.0385703613534,344.7638244628906,463.3164246764839,342.181640625,5.1349972768368675,5.097860393390075,0.6571492056906827,0.6522274067555277
xgb_cerritos_ii_sentido_2,CERRITOS II,sentido_2,15.637913121072984,10.95662784576416,278.2445950732916,232.3429718017578,268.06577143025925,216.85137939453125,4.330148614980047,4.216628318100598,0.505509602022009,0.4718044488435383
xgb_la_parada_sentido_2,LA PARADA,sentido_2,408.14680263356223,265.93560791015625,2767.9629694054797,1329.7994384765625,519.6990114479727,381.1612243652344,7.759195470884632,2.231639132120151,0.8519510825805716,0.2441952530237132
xgb_peaje_tunel_la_linea_quindio_sentido_2,PEAJE TUNEL LA LINEA QUINDIO,sentido_2,35.94898593623678,27.512128829956055,438.9090523673441,324.0589599609375,407.1139083536695,300.6322021484375,7.6599882391733844,7.514551652268417,0.5768299429916312,0.5351299920198612
xgb_peaje_tunel_la_linea_tolima_sentido_1,PEAJE TUNEL LA LINEA TOLIMA,sentido_1,12.877383705877465,8.903310775756836,373.16203752525524,276.6405029296875,387.06901435661314,309.125,6.843412714962768,8.13428093897382,0.5215954822879516,0.5828438625774762
xgb_pto_triunfo_sentido_1,PTO. TRIUNFO,sentido_1,51.00117521240932,37.47472381591797,494.35466140211525,281.3470458984375,462.65397774686863,249.04693603515625,22.42724196878684,12.026187725232358,0.6506088775111092,0.5759156234666354
xgb_pto_triunfo_sentido_2,PTO. TRIUNFO,sentido_2,95.99990336095397,71.296875,457.09902168457984,267.5779113769531,521.203535099293,364.2717590332031,23.57670928122509,18.825607552250734,0.615169327822172,0.837471216071469
xgb_sachica_sentido_1,SACHICA,sentido_1,6.472420503401456,4.582958221435547,260.08397081519655,193.260986328125,257.51777851247476,163.65509033203125,8.114791247487135,6.763368010037514,0.33833781309390804,0.28650741227887594
xgb_sachica_sentido_2,SACHICA,sentido_2,5.277575777884065,3.694014072418213,214.03078232172587,152.60951232910156,294.6269754918921,197.4322052001953,6.071970810384511,6.75574760267506,0.2848578536152415,0.36852305011760583
